"id","printed","normalized","host","pdfPageStart","pdfPageEnd","printedPage","chapter","nearbyProject","contextClassification","nearbyText","sourceLineIndex"
"URL-OCC-0139","http://www.ala.org/Template.cfm?Section=copyrightcases&Template=/ContentManagement/ContentDisplay.cfm&ContentID=20264","http://www.ala.org/Template.cfm?Section=copyrightcases&Template=/ContentManagement/ContentDisplay.cfm&ContentID=20264","","129","129","114","4 - Countering Enclosure: Reclaiming the Knowledge Commons","American Library Association","license / intellectual-property resource","of Science and Useful Arts”: Why Copyright Today Threatens Intellectual Freedom (New York: Free Expression Policy Project, 2003), 15–23; American Library Association, Eldred v. Ashcroft website, http://www.ala.org/Template .cfm?Section=copyrightcases&Template=/ContentManagement/ContentDisplay .cfm&ContentID=20264; Open Law, Eldred v. Ashcroft website, http://cyber .law.harvard.edu/openlaw/eldredvashcroft/; “Eldred v. Ashcroft,” Wikipedia, http://en.wikipedia.org/wiki/Eldred_v._Reno.","41"
"URL-OCC-0140","http://cyber.law.harvard.edu/openlaw/eldredvashcroft/","http://cyber.law.harvard.edu/openlaw/eldredvashcroft/","","129","129","114","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Berkman Center / Harvard Law School","license / intellectual-property resource","Library Association, Eldred v. Ashcroft website, http://www.ala.org/Template .cfm?Section=copyrightcases&Template=/ContentManagement/ContentDisplay .cfm&ContentID=20264; Open Law, Eldred v. Ashcroft website, http://cyber .law.harvard.edu/openlaw/eldredvashcroft/; “Eldred v. Ashcroft,” Wikipedia, http://en.wikipedia.org/wiki/Eldred_v._Reno. 18. A & M Records v. Napster, 239 F.3d 1004 (9th Cir. 2001); Metro-Goldwyn-","43"
"URL-OCC-0141","http://en.wikipedia.org/wiki/Eldred_v._Reno","http://en.wikipedia.org/wiki/Eldred_v._Reno","","129","129","114","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Wikipedia","law / court / government record",".cfm&ContentID=20264; Open Law, Eldred v. Ashcroft website, http://cyber .law.harvard.edu/openlaw/eldredvashcroft/; “Eldred v. Ashcroft,” Wikipedia, http://en.wikipedia.org/wiki/Eldred_v._Reno. 18. A & M Records v. Napster, 239 F.3d 1004 (9th Cir. 2001); Metro-Goldwyn- Mayer Studios v. Grokster, U.S. Supreme Court, No. 04-480, Syllabus and","45"
"URL-OCC-0142","http://www.supremecourtus.gov/opinions/02pdf/02-361.pdf","http://www.supremecourtus.gov/opinions/02pdf/02-361.pdf","","130","130","115","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Supreme Court of the United States","article / report / publication","19. For more information about filters and CIPA, see U.S. Supreme Court, United States et al. v. American Library Association, et al., No. 02-361, Syllabus and Opinion of the Court, 2003, http://www.supremecourtus.gov/opinions/ 02pdf/02-361.pdf; National Research Council, Tools and Strategies for Protect- ing Kids from Pornography and Their Applicability to Other Inappropriate Internet Content","5"
"URL-OCC-0143","http://books.nap.edu/html/youth_internet/","http://books.nap.edu/html/youth_internet/","","130","130","115","4 - Countering Enclosure: Reclaiming the Knowledge Commons","National Academies Press","article / report / publication","Internet Content (Washington, DC: National Research Council, 2001), http://books.nap.edu/html/youth_internet/; U.S. Children's Online Protection Act Commission, Final Report of the COPA Commission Presented to Congress, October 20, 2000 (Washington, DC: Government Printing Office, 2000),","10"
"URL-OCC-0144","http://www.copacommission.org/report/","http://www.copacommission.org/report/","","130","130","115","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Commission on Online Child Protection","article / report / publication","Commission, Final Report of the COPA Commission Presented to Congress, October 20, 2000 (Washington, DC: Government Printing Office, 2000), http://www.copacommission.org/report/; U.S. District Court for Eastern Penn- sylvania, American Library Association v. the United States et al. No. 01-1303: Opinion of the Court, Philadelphia, May 31, 2002, http://www.ala.org/ala/","13"
"URL-OCC-0145","http://www.ala.org/ala/washoff/WOissues/civilliberties/cipaweb/legalhistory/internet.pdf","http://www.ala.org/ala/washoff/WOissues/civilliberties/cipaweb/legalhistory/internet.pdf","","130","130","115","4 - Countering Enclosure: Reclaiming the Knowledge Commons","American Library Association","article / report / publication","http://www.copacommission.org/report/; U.S. District Court for Eastern Penn- sylvania, American Library Association v. the United States et al. No. 01-1303: Opinion of the Court, Philadelphia, May 31, 2002, http://www.ala.org/ala/ washoff/WOissues/civilliberties/cipaweb/legalhistory/internet.pdf; American Library Association, “CIPA,” website, http://www.ala.org/cipa.","15"
"URL-OCC-0146","http://www.ala.org/cipa","http://www.ala.org/cipa","","130","130","115","4 - Countering Enclosure: Reclaiming the Knowledge Commons","American Library Association","article / report / publication","washoff/WOissues/civilliberties/cipaweb/legalhistory/internet.pdf; American Library Association, “CIPA,” website, http://www.ala.org/cipa. 20. Nancy Kranich, “Government Information: Less Is Dangerous,” Thought and Action: The NEA Higher Education Journal 4 (spring 1988): 37–48.","18"
"URL-OCC-0147","http://www.fepproject.org/commentaries/patriotact.html","http://www.fepproject.org/commentaries/patriotact.html","","130","130","115","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Free Expression Policy Project","repository / archive / digital library","and Action: The NEA Higher Education Journal 4 (spring 1988): 37–48. 21. Nancy Kranich, The Impact of the USA PATRIOT Act on Free Expression (New York: Free Expression Policy Project, May 2003), http://www .fepproject.org/commentaries/patriotact.html; “Update” (August 27, 2003), http://www.fepproject.org/commentaries/patriotactupdate.html. 22. National Security Archive, The Ashcroft Memo: “Drastic” Change or “More","22"
"URL-OCC-0148","http://www.fepproject.org/commentaries/patriotactupdate.html","http://www.fepproject.org/commentaries/patriotactupdate.html","","130","130","115","4 - Countering Enclosure: Reclaiming the Knowledge Commons","Free Expression Policy Project","repository / archive / digital library","(New York: Free Expression Policy Project, May 2003), http://www .fepproject.org/commentaries/patriotact.html; “Update” (August 27, 2003), http://www.fepproject.org/commentaries/patriotactupdate.html. 22. National Security Archive, The Ashcroft Memo: “Drastic” Change or “More Thunder Than Lightning”? (Washington, DC: National Security Archive, 2003),","24"
